Crop,Date,Farming Method,Region,Season,Expected Profit,Profit,Revenue
Cotton,24-10-2024,Organic,West,Zaid,50000,56605.04,105213.9
Maize,13-03-2024,Mixed,South,Rabi,50000,23064.18,83090.5
Maize,06-05-2024,Organic,East,Rabi,50000,45367.39,86054.11
Maize,07-01-2023,Mixed,West,Kharif,50000,4535.22,8283.47
Wheat,10-11-2023,Organic,East,Zaid,50000,91204.67,185663.52
Sugarcane,17-04-2024,Mixed,West,Kharif,50000,11064.96,25425.84
Wheat,21-12-2024,Hydroponic,West,Rabi,50000,19596.88,49041.26
Rice,01-09-2024,Conventional,West,Rabi,50000,19547.6,72425.94
Wheat,10-03-2024,Organic,South,Zaid,50000,26841.28,54370.94
Wheat,19-07-2023,Conventional,West,Kharif,50000,24503.73,77363.17
Cotton,27-03-2024,Mixed,West,Kharif,50000,12376.42,36758.91
Rice,28-09-2023,Conventional,East,Kharif,50000,42697.37,77142.83
Sugarcane,04-09-2024,Conventional,East,Kharif,50000,19981.06,53309.78
Cotton,08-04-2024,Organic,West,Rabi,50000,53712.01,121863.46
Wheat,05-02-2024,Organic,South,Kharif,50000,38526.1,77057.68
Wheat,03-11-2024,Mixed,West,Zaid,50000,5430.96,13468.42
Cotton,11-07-2024,Conventional,West,Kharif,50000,40851.37,136340.63
Rice,06-08-2023,Mixed,West,Rabi,50000,53563.29,140573.48
Rice,21-04-2024,Mixed,East,Zaid,50000,12739.41,59631.57
Sugarcane,27-04-2023,Mixed,North,Rabi,50000,22384.46,64162.77
Cotton,11-08-2024,Organic,East,Rabi,50000,48134.38,199974.66
Wheat,11-11-2024,Hydroponic,North,Kharif,50000,22799.69,66895.79
Sugarcane,08-05-2024,Hydroponic,South,Zaid,50000,30377.87,55831.45
Sugarcane,01-06-2024,Conventional,West,Rabi,50000,55063.8,111673.84
Cotton,12-10-2023,Hydroponic,West,Rabi,50000,30536.83,58038.72
Maize,27-05-2024,Organic,East,Kharif,50000,89630.92,175129.72
Wheat,18-05-2023,Conventional,North,Zaid,50000,16029.81,72466.23
Maize,21-04-2023,Hydroponic,East,Kharif,50000,70236.6,164173.01
Rice,06-02-2023,Hydroponic,East,Zaid,50000,38276.44,75705.08
Sugarcane,04-07-2023,Organic,East,Zaid,50000,41517.76,83224.67
Wheat,16-08-2023,Mixed,North,Kharif,50000,13571.41,34302.77
Sugarcane,04-07-2024,Hydroponic,South,Rabi,50000,11984.16,28707.97
Maize,13-07-2024,Organic,North,Zaid,50000,51182.51,90308.21
Rice,30-04-2023,Hydroponic,East,Kharif,50000,3706.49,8388.66
Maize,26-11-2023,Hydroponic,West,Kharif,50000,6091.73,12536.6
Sugarcane,17-04-2023,Hydroponic,East,Rabi,50000,3243.51,7624.79
Wheat,24-04-2024,Hydroponic,South,Rabi,50000,48009.44,85049.12
Sugarcane,18-11-2023,Hydroponic,East,Rabi,50000,57550.75,116044.29
Rice,27-11-2024,Hydroponic,West,Zaid,50000,65746.39,122685.56
Wheat,20-02-2023,Hydroponic,North,Rabi,50000,58682.63,117896.19
Sugarcane,17-10-2024,Organic,North,Kharif,50000,34352.75,78679.83
Maize,17-10-2023,Mixed,North,Kharif,50000,23036.88,77408.04
Wheat,09-11-2023,Organic,South,Rabi,50000,7487.17,14738.2
Wheat,02-10-2024,Organic,West,Kharif,50000,6121.75,13385.22
Wheat,18-07-2024,Mixed,North,Kharif,50000,86273.07,148050.79
Maize,31-03-2024,Mixed,West,Zaid,50000,45998.39,85104.63
Wheat,22-02-2023,Hydroponic,South,Rabi,50000,13429.24,31127.15
Maize,09-02-2023,Conventional,South,Kharif,50000,107845.28,235466.52
Maize,25-10-2024,Mixed,North,Rabi,50000,3627.33,13736.96
Sugarcane,08-09-2024,Organic,South,Rabi,50000,39059.68,73542.28
Maize,11-02-2024,Conventional,East,Kharif,50000,11479.67,25028.44
Wheat,19-05-2024,Conventional,North,Zaid,50000,801.38,2621.25
Wheat,22-12-2024,Mixed,East,Rabi,50000,10828.27,19593.58
Cotton,15-01-2024,Mixed,West,Kharif,50000,16671.63,30423.22
Maize,24-01-2023,Conventional,West,Zaid,50000,13759.46,37168.4
Rice,08-02-2024,Organic,West,Zaid,50000,9410.06,44976.72
Maize,15-08-2024,Mixed,North,Zaid,50000,15485.46,56731.82
Cotton,21-10-2023,Organic,North,Kharif,50000,64999.86,199759.13
Maize,13-07-2023,Hydroponic,North,Kharif,50000,17422.03,29534.07
Rice,15-12-2023,Mixed,North,Rabi,50000,66248.62,129905.54
Sugarcane,30-06-2023,Mixed,South,Kharif,50000,6638.99,12387.95
Sugarcane,26-09-2023,Conventional,East,Zaid,50000,29227.77,83298.86
Wheat,24-11-2024,Mixed,South,Kharif,50000,2734.65,5477.85
Cotton,27-09-2023,Mixed,West,Zaid,50000,37085.83,167050.43
Rice,23-10-2024,Conventional,East,Kharif,50000,63662.93,143850.76
Rice,30-06-2024,Conventional,South,Rabi,50000,82312.63,149755.36
Maize,11-04-2024,Conventional,West,Kharif,50000,1649.36,3640.09
Wheat,07-10-2023,Organic,South,Zaid,50000,30089.71,97209.16
Wheat,02-10-2023,Conventional,South,Rabi,50000,13649.97,39748.33
Maize,16-12-2024,Conventional,West,Zaid,50000,14760.09,27914.69
Sugarcane,04-07-2024,Organic,West,Rabi,50000,47533.09,189402.67
Maize,01-11-2023,Mixed,North,Zaid,50000,5574.65,17815
Rice,25-06-2023,Conventional,West,Kharif,50000,10811.8,22239.11
Rice,29-07-2024,Conventional,East,Kharif,50000,18125.95,65212.84
Maize,06-07-2024,Conventional,East,Kharif,50000,19170.89,35274.18
Sugarcane,20-01-2024,Hydroponic,North,Kharif,50000,24545.3,77990.52
Maize,06-06-2024,Conventional,North,Zaid,50000,22327.38,93677.56
Sugarcane,19-11-2023,Conventional,South,Zaid,50000,23976.1,47961.3
Cotton,31-03-2023,Conventional,West,Zaid,50000,67193.29,114303.59
Sugarcane,27-02-2024,Hydroponic,North,Rabi,50000,20734.14,56506.57
Maize,04-06-2024,Mixed,South,Zaid,50000,13419.23,39979.6
Wheat,15-02-2024,Conventional,West,Kharif,50000,6749.21,29631.3
Maize,31-03-2023,Organic,North,Rabi,50000,3629.29,10095.12
Sugarcane,29-09-2024,Hydroponic,East,Zaid,50000,97910.49,173353.65
Sugarcane,19-09-2023,Mixed,South,Rabi,50000,14503.1,26525.62
Cotton,03-05-2024,Conventional,South,Kharif,50000,51815.93,119907.31
Sugarcane,13-05-2024,Hydroponic,South,Kharif,50000,50608.52,152389.1
Wheat,02-04-2023,Conventional,North,Kharif,50000,8956.59,41843.46
Wheat,10-07-2024,Mixed,North,Kharif,50000,27268.43,131907.28
Wheat,20-06-2023,Hydroponic,West,Rabi,50000,69275.21,175770.83
Maize,15-05-2024,Organic,East,Rabi,50000,78668.4,147565.56
Wheat,30-03-2023,Organic,North,Kharif,50000,5708.63,11914
Sugarcane,16-10-2023,Hydroponic,East,Rabi,50000,76710.23,162403.41
Cotton,11-03-2024,Organic,West,Rabi,50000,29280.97,110852.76
Wheat,19-11-2024,Mixed,North,Kharif,50000,9230.3,26570.31
Cotton,03-11-2024,Organic,East,Zaid,50000,51299.87,154133.96
Sugarcane,12-04-2023,Mixed,East,Kharif,50000,40961.8,73876.22
Wheat,15-03-2024,Hydroponic,East,Zaid,50000,19949.62,62820.59
Sugarcane,12-12-2024,Organic,West,Kharif,50000,63376.15,116519.84
Cotton,26-08-2023,Mixed,South,Zaid,50000,14489.69,32044.64
Rice,12-09-2024,Hydroponic,East,Zaid,50000,13455.67,43080.9
Wheat,19-07-2024,Organic,North,Rabi,50000,29716.57,52789.75
Rice,14-09-2024,Conventional,West,Zaid,50000,64849.83,122269.76
Cotton,13-08-2024,Hydroponic,East,Rabi,50000,7443.19,16118.34
Cotton,20-11-2024,Hydroponic,West,Zaid,50000,29293.8,69846.55
Maize,16-03-2024,Conventional,South,Rabi,50000,9012.3,34762.74
Sugarcane,10-11-2024,Conventional,North,Rabi,50000,110782.01,239152.88
Sugarcane,11-06-2024,Hydroponic,North,Zaid,50000,20252.86,81391.95
Sugarcane,05-12-2023,Mixed,East,Zaid,50000,4985.84,19058.06
Sugarcane,21-01-2024,Organic,East,Rabi,50000,56607.86,100741.78
Cotton,27-08-2023,Mixed,East,Rabi,50000,9214.26,39034.66
Rice,06-01-2023,Organic,North,Kharif,50000,59837.07,118693.41
Maize,27-04-2024,Hydroponic,North,Zaid,50000,67538.19,121249.6
Wheat,04-07-2023,Mixed,South,Rabi,50000,4589.97,20233.61
Maize,14-12-2023,Mixed,West,Zaid,50000,26031.79,82361.2
Wheat,02-10-2024,Mixed,South,Kharif,50000,57591.92,160323.36
Wheat,20-03-2024,Organic,North,Kharif,50000,75083.7,152652.98
Cotton,16-09-2024,Organic,East,Rabi,50000,22266.55,44202.41
Sugarcane,26-03-2023,Hydroponic,East,Kharif,50000,10566.02,46411.82
Maize,23-05-2023,Mixed,East,Rabi,50000,10235.66,33823.97
Rice,10-08-2024,Hydroponic,North,Kharif,50000,9274.4,23661.48
Cotton,26-09-2023,Organic,South,Rabi,50000,12759.82,58305.95
Maize,18-03-2024,Mixed,West,Zaid,50000,4136.92,17733.02
Sugarcane,24-11-2024,Conventional,South,Zaid,50000,52132.58,105538.17
Sugarcane,21-03-2023,Organic,East,Rabi,50000,63943.67,137835.31
Sugarcane,21-10-2023,Mixed,South,Rabi,50000,28632.08,96599.89
Sugarcane,07-02-2023,Conventional,East,Rabi,50000,23005.2,48540.41
Maize,18-12-2023,Hydroponic,East,Kharif,50000,10982.07,34543.83
Cotton,23-07-2024,Organic,South,Zaid,50000,1581.12,3383.97
Rice,17-05-2023,Organic,East,Kharif,50000,24994.8,65728.11
Rice,27-10-2023,Hydroponic,West,Kharif,50000,2514.6,11448.72
Wheat,10-02-2023,Mixed,South,Zaid,50000,59596.43,111345.07
Cotton,11-04-2024,Hydroponic,West,Zaid,50000,11917.29,41394.15
Maize,22-01-2024,Organic,North,Rabi,50000,3112.83,8149.26
Sugarcane,22-09-2023,Organic,South,Rabi,50000,13292.4,59935.98
Sugarcane,24-02-2024,Conventional,West,Kharif,50000,4488.13,12994.21
Maize,28-07-2024,Hydroponic,West,Rabi,50000,22070.15,52584.41
Maize,31-08-2024,Conventional,East,Zaid,50000,33881.08,63963.46
Cotton,10-09-2024,Conventional,South,Zaid,50000,31502.93,117785.76
Cotton,28-08-2023,Hydroponic,East,Rabi,50000,8608.28,22292.14
Maize,17-11-2023,Conventional,West,Kharif,50000,56494.59,96312.55
Sugarcane,10-08-2024,Conventional,North,Rabi,50000,26771.07,68262.86
Rice,19-08-2024,Mixed,West,Kharif,50000,59152.57,111231.64
Cotton,26-09-2024,Hydroponic,North,Kharif,50000,7976.65,27553.89
Rice,18-03-2024,Conventional,South,Zaid,50000,7503.23,32995.39
Cotton,04-08-2023,Conventional,East,Rabi,50000,23013.11,93042.28
Wheat,21-09-2024,Hydroponic,East,Rabi,50000,43383.25,79448.74
Wheat,07-07-2024,Conventional,North,Rabi,50000,16861.87,42543.51
Maize,15-07-2024,Organic,West,Rabi,50000,47966.06,152480.93
Rice,16-04-2024,Mixed,North,Kharif,50000,72540.17,153316.22
Rice,24-03-2024,Conventional,South,Zaid,50000,34939.24,78260.79
Rice,24-06-2023,Organic,West,Zaid,50000,6380.07,20580.76
Rice,04-09-2023,Organic,East,Rabi,50000,4860.61,21937.23
Rice,08-01-2024,Organic,North,Zaid,50000,29220.66,63676.21
Sugarcane,15-05-2023,Organic,East,Rabi,50000,35410.37,62327.36
Cotton,15-09-2024,Mixed,West,Rabi,50000,72250.01,140849.09
Maize,01-12-2024,Conventional,West,Zaid,50000,29222.46,83715.89
Rice,22-02-2023,Mixed,North,Kharif,50000,21266.59,37108.72
Wheat,08-06-2023,Conventional,East,Kharif,50000,31669.61,75346.66
Rice,29-02-2024,Hydroponic,South,Rabi,50000,59859,134577.62
Wheat,23-04-2023,Mixed,East,Zaid,50000,17069.31,32183.5
Sugarcane,31-03-2024,Organic,North,Zaid,50000,9056.29,20561.2
Cotton,25-04-2023,Organic,South,Kharif,50000,35092.39,83861.61
Maize,20-06-2023,Conventional,North,Zaid,50000,17785.5,65893.66
Wheat,11-03-2023,Organic,North,Zaid,50000,31350.52,88567.91
Maize,12-02-2023,Mixed,South,Zaid,50000,49149.55,130460.06
Maize,22-07-2024,Conventional,East,Kharif,50000,22114.16,38440.74
Wheat,28-10-2023,Mixed,South,Kharif,50000,75489.61,141597.32
Wheat,27-12-2024,Conventional,South,Rabi,50000,89535.05,168759.06
Sugarcane,27-01-2023,Organic,West,Kharif,50000,31148.25,58499.11
Rice,29-11-2023,Hydroponic,West,Rabi,50000,23852,85563.32
Rice,14-02-2024,Mixed,East,Kharif,50000,16545.71,38502.81
Wheat,09-10-2023,Mixed,East,Rabi,50000,36324.12,95855.79
Sugarcane,03-04-2024,Hydroponic,East,Rabi,50000,22719.89,50075.61
Maize,23-05-2024,Organic,North,Zaid,50000,11663.75,32606.16
Cotton,03-08-2023,Conventional,West,Kharif,50000,5968.97,16731.38
Maize,19-06-2024,Organic,East,Kharif,50000,6711.44,11200.31
Sugarcane,25-07-2023,Conventional,North,Kharif,50000,8861.31,15040.88
Rice,10-12-2024,Conventional,North,Kharif,50000,16084.05,75278.51
Rice,28-04-2023,Conventional,East,Rabi,50000,2760.08,4996.14
Cotton,14-03-2023,Mixed,West,Kharif,50000,27094.77,94863.14
Maize,10-05-2024,Mixed,West,Kharif,50000,13480.47,34419.52
Maize,27-07-2024,Conventional,North,Kharif,50000,26263.55,90358.29
Maize,03-06-2023,Mixed,South,Rabi,50000,58595.07,186148.5
Rice,19-06-2024,Mixed,West,Kharif,50000,31250.93,99807.83
Wheat,13-03-2024,Organic,North,Zaid,50000,91902.29,178113.68
Maize,13-10-2023,Mixed,South,Zaid,50000,34531.75,59268.69
Rice,06-09-2023,Mixed,North,Kharif,50000,21045.07,39043.19
Wheat,30-11-2024,Mixed,South,Rabi,50000,996.73,3781.39
Maize,29-05-2024,Organic,South,Kharif,50000,12940.47,58216
Sugarcane,20-09-2023,Mixed,South,Kharif,50000,23140.69,47814.17
Wheat,20-03-2023,Hydroponic,West,Zaid,50000,13866.18,44741.73
Sugarcane,18-05-2024,Hydroponic,South,Zaid,50000,2531.54,5331.03
Rice,30-01-2023,Hydroponic,East,Rabi,50000,51567.03,98248.9
Cotton,24-02-2023,Conventional,West,Rabi,50000,22809.35,70329.51
Rice,14-08-2024,Conventional,North,Zaid,50000,13730.78,31094.06
Sugarcane,03-05-2024,Organic,East,Zaid,50000,43535.55,177296.69
Wheat,09-11-2023,Conventional,West,Kharif,50000,57031.27,97349.43
Maize,05-11-2023,Organic,East,Rabi,50000,32182.34,59305.77
Sugarcane,11-06-2023,Hydroponic,North,Zaid,50000,6235.75,24089.55
Wheat,04-10-2023,Mixed,West,Zaid,50000,10411.25,41038.07
Maize,15-01-2024,Conventional,West,Kharif,50000,12150.57,49925.59
Cotton,26-12-2023,Hydroponic,East,Zaid,50000,18823.25,36145.78
Maize,03-03-2024,Hydroponic,South,Rabi,50000,10158.7,23620.33
Maize,11-10-2023,Mixed,West,Kharif,50000,15323.39,55079.49
Sugarcane,18-01-2024,Hydroponic,East,Zaid,50000,7200.67,15498.37
Wheat,27-02-2024,Conventional,North,Kharif,50000,33681.65,72514.08
Maize,05-02-2023,Hydroponic,South,Zaid,50000,47817.2,127495.32
Maize,25-11-2023,Organic,East,Zaid,50000,2236.78,5117.21
Sugarcane,17-12-2024,Hydroponic,South,Kharif,50000,56861.67,149991.04
Cotton,20-04-2023,Hydroponic,South,Zaid,50000,15135.13,43690.09
Rice,05-11-2023,Conventional,West,Zaid,50000,17621.89,35859.59
Cotton,29-11-2023,Organic,East,Kharif,50000,10429.84,25624.02
Maize,12-12-2023,Conventional,West,Rabi,50000,10533.54,22975.77
Maize,20-12-2024,Organic,South,Zaid,50000,27564.77,49266.62
Rice,09-02-2023,Organic,West,Kharif,50000,19095.01,58832.47
Sugarcane,26-10-2024,Hydroponic,East,Zaid,50000,2843.14,6492.05
Maize,28-08-2024,Hydroponic,South,Zaid,50000,11023.68,53001.41
Maize,09-05-2024,Hydroponic,South,Zaid,50000,10696.59,28202.28
Wheat,24-07-2024,Mixed,West,Rabi,50000,5575.28,11273.35
Wheat,25-08-2023,Hydroponic,North,Rabi,50000,20265.46,71809.29
Sugarcane,01-10-2023,Organic,West,Kharif,50000,10508.05,21837.41
Wheat,09-11-2024,Hydroponic,North,Zaid,50000,2843.55,8504.27
Cotton,26-04-2024,Mixed,South,Kharif,50000,11441.08,19391.25
Sugarcane,06-02-2023,Organic,East,Zaid,50000,12901.43,33015.56
Cotton,03-07-2024,Hydroponic,West,Rabi,50000,42375.44,72548.84
Maize,17-04-2023,Conventional,North,Rabi,50000,612.25,2654.44
Sugarcane,13-10-2023,Organic,East,Zaid,50000,16811.77,42209.05
Maize,31-03-2024,Organic,North,Rabi,50000,80005.99,200332.33
Cotton,18-12-2024,Mixed,North,Zaid,50000,14739.32,33898.51
Maize,23-06-2023,Conventional,East,Zaid,50000,70953.49,122236.91
Sugarcane,14-08-2024,Mixed,South,Zaid,50000,27630.2,52463.36
Maize,26-02-2024,Conventional,South,Rabi,50000,48199.38,145168.72
Cotton,08-06-2024,Hydroponic,South,Kharif,50000,68635.88,127702.95
Wheat,13-05-2023,Conventional,South,Kharif,50000,14403.71,47610.93
Cotton,12-11-2023,Mixed,East,Rabi,50000,72623.78,131601.98
Wheat,26-10-2023,Organic,South,Rabi,50000,11278.02,21896.77
Wheat,23-08-2023,Organic,South,Kharif,50000,48931.43,93334.29
Cotton,05-08-2023,Conventional,East,Zaid,50000,99034.48,176500.42
Wheat,27-10-2023,Organic,South,Rabi,50000,1811.47,8665.76
Maize,20-12-2024,Conventional,South,Zaid,50000,26624.13,78711.66
Sugarcane,17-10-2023,Organic,East,Zaid,50000,58185.34,144351.37
Sugarcane,03-09-2023,Organic,West,Kharif,50000,34387.32,64187.42
Maize,06-12-2024,Mixed,West,Zaid,50000,13500.3,26709.42
Maize,08-10-2024,Conventional,West,Rabi,50000,21030.06,79324.89
Rice,10-05-2024,Conventional,East,Rabi,50000,5694.08,15190.62
Cotton,14-10-2023,Conventional,North,Rabi,50000,10954.81,36567.5
Sugarcane,07-11-2023,Hydroponic,East,Zaid,50000,31098.58,80310.09
Maize,12-12-2023,Hydroponic,West,Rabi,50000,17750.58,34638.56
Rice,30-05-2023,Conventional,South,Kharif,50000,33558.24,63711.4
Cotton,30-01-2024,Hydroponic,South,Kharif,50000,30735.28,54207.33
Rice,24-04-2023,Conventional,North,Rabi,50000,65623.77,143731.62
Rice,21-12-2023,Hydroponic,North,Rabi,50000,47354.57,197105.71
Maize,11-09-2023,Hydroponic,East,Kharif,50000,25701.1,42900.34
Maize,12-07-2024,Conventional,West,Kharif,50000,42845.7,154021.17
